country,happiness_rank,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia_residual,internet_access_population[%],cellular_subscriptions,surplus_deficit_GDP[%],familiy_income_gini_coeff,GDP_per_capita[$],inflation_rate[%],military_expenditures[%],map_reference,biggest_official_language,population,Inequality-adjusted HDI (IHDI),Inequality in life expectancy [%],Inequality in education [%],Inequality in income [%],Quintile ratio,Palma ratio ,Gini coefficient,HDI rank,Human Development Index,Life expectancy at birth [years],Expected years of schooling [years],Mean years of schooling [years],Gross national income (GNI) per capita [$],HDI  Rank 2016
United Arab Emirates,21,6.6479997634887700,1.6263433694839500,1.26641023159027,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,1.734703540802,90.6,326,-7.6,,67700.0,2.0,4.86,Middle East,Arabic,6072475,,5.2,,,,,,34,0.863,77.4,13.6,10.8,67805,33
Brazil,22,6.63500022888184,1.10735321044922,1.43130600452423,0.6165523529052730,0.437453746795654,0.16234989464283000,0.111092761158943,2.7692670822143600,59.7,114,-1.3,49.0,15600.0,3.4,1.32,South America,Portuguese,207353391,0.578,10.8,22.0,36.7,15.6,3.5,51.3,79,0.759,75.7,15.4,7.8,13755,79
Czech Republic,23,6.60900020599365,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0881067588925362,0.0368729270994663,2.45186185836792,76.5,118,0.4,25.0,35500.0,2.4,0.98,Europe,Czech,10674723,,,,,,,,,,,,,,
Argentina,24,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.4945192039012910,0.109457060694695,0.059739887714386000,2.61400532722473,70.2,140,-6.1,41.7,20900.0,25.7,0.95,South America,Spanish,44293293,0.707,9.5,6.2,25.8,9.5,2.1,42.4,47,0.825,76.7,17.4,9.9,18461,47
Mexico,25,6.57800006866455,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,2.8371548652648900,59.5,92,-1.9,48.2,19900.0,6.0,0.58,North America,Spanish,124574795,0.609,12.3,17.1,32.8,8.8,2.3,43.4,74,0.774,77.3,14.1,8.6,16944,74
Singapore,26,6.57200002670288,1.69227766990662,1.35381436347961,0.9494923949241640,0.549840569496155,0.345965981483459,0.46430778503418,1.21636199951172,81.0,144,1.8,45.9,93900.0,0.6000000000000000,3.35,Southeast Asia,English,5888926,0.816,2.6,8.2,25.0,,,,9,0.932,83.2,16.2,11.5,82503,8
Malta,27,6.52699995040894,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.5747305750846860,0.153066068887711,1.55686283111572,77.3,135,-0.5,28.1,42000.0,1.3,0.53,Europe,Maltese,416338,0.805,4.0,6.9,13.7,4.4,1.1,29.0,29,0.878,81.0,15.9,11.3,34396,29
Uruguay,28,6.4539999961853,1.21755969524384,1.41222786903381,0.719216823577881,0.5793922543525700,0.175096929073334,0.17806187272071800,2.17240953445435,66.4,152,-3.7,41.6,22400.0,6.2,1.85,South America,Spanish,3360148,0.689,9.0,7.4,25.3,7.9,1.8,39.7,55,0.804,77.6,15.9,8.7,19930,56
Guatemala,29,6.4539999961853,0.872001945972443,1.25558519363403,0.540239989757538,0.5313106179237370,0.283488392829895,0.0772232785820961,2.89389109611511,34.5,129,-3.2,53.0,8100.0,4.4,0.39,Central America and the Caribbean,Spanish,15460732,0.467,16.0,35.0,32.2,11.9,2.9,48.3,127,0.650,73.7,10.8,6.5,7278,126
Panama,30,6.4520001411438,1.23374843597412,1.3731925487518300,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,2.30719995498657,54.0,159,-1.6,50.7,25400.0,0.9,,Central America and the Caribbean,Spanish,3753142,0.623,11.5,12.5,36.5,16.6,3.4,50.4,66,0.789,78.2,12.7,10.2,19178,66
France,31,6.44199991226196,1.43092346191406,1.38777685165405,0.8444658517837520,0.470222115516663,0.129762306809425,0.172502428293228,2.00595474243164,85.6,103,-2.7,29.3,43800.0,1.2,2.26,Europe,French,67106161,0.808,3.6,8.6,18.1,5.2,1.3,32.7,24,0.901,82.7,16.4,11.5,39254,23
Thailand,32,6.423999786376950,1.12786877155304,1.4257924556732200,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,2.03950834274292,47.5,178,-2.5,44.5,17900.0,0.7000000000000000,1.5,Southeast Asia,Thai,68414135,0.636,9.3,13.3,23.8,6.5,1.7,37.8,83,0.755,75.5,14.7,7.6,15516,86
Taiwan,33,6.42199993133545,1.4336265325546300,1.38456535339355,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,2.1266074180603,88.0,122,0.2,33.6,50300.0,0.6000000000000000,,Southeast Asia,Mandarin Chinese,23508428,,,,,,,,,,,,,,
Spain,34,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,1.92775774002075,80.6,107,-3.3,35.9,38300.0,2.0,0.91,Europe,Castilian Spanish,48958159,0.754,3.0,18.6,23.3,7.3,1.5,36.2,26,0.891,83.3,17.9,9.8,34258,25
